Chrom,Start,End
1,948903,949006
1,949313,949413
1,949414,949513
1,949514,949613
1,949614,949713
1,949714,949813
1,949814,949908
1,995394,995494
1,995495,995595
1,1846266,1846366
1,1846367,1846466
1,1846467,1846566
1,1846567,1846668
1,1846669,1846796
1,1847073,1847224
1,1847829,1847929
1,1847930,1848029
1,1848030,1848104
1,1848140,1848240
1,1848241,1848340
1,1848341,1848440
1,1848441,1848540
1,1848541,1848682
1,2160232,2160331
1,2160332,2160431
1,2160432,2160531
1,2160532,2160631
1,2160632,2160731
1,2160732,2160831
1,2160832,2160931
1,2160932,2161031
1,2161032,2161131
1,2161132,2161232
1,2234341,2234441
1,2234442,2234541
1,2234542,2234611
1,2234641,2234741
1,2234742,2234841
1,2234842,2234917
1,2235201,2235301
1,2235302,2235401
1,2235402,2235501
1,2235502,2235615
1,2235651,2235751
1,2235752,2235851
1,2235852,2235951
1,2235952,2236051
1,2237386,2237486
1,2237487,2237586
1,2237587,2237686
1,2237687,2237767
1,2237941,2238041
1,2238042,2238141
1,2238281,2238381
1,2238382,2238481
1,2238482,2238581
1,2238582,2238681
1,2238682,2238781
1,2238782,2238881
1,2238882,2238981
1,2238982,2239081
1,2239082,2239181
1,2239182,2239281
1,2239282,2239381
1,2239382,2239481
1,2239482,2239581
1,2239582,2239681
1,2239682,2239781
1,2239782,2239881
1,2239882,2239981
1,2239982,2240081
1,2240082,2240181
1,2240182,2240281
1,2240282,2240381
1,2240382,2240481
1,2240482,2240581
1,2240582,2240681
1,2240682,2240781
1,2240782,2240881
1,2240882,2240981
1,2240982,2241081
1,2241082,2241181
1,2241182,2241281
1,2241282,2241381
1,2241382,2241481
1,2241482,2241581
1,2241582,2241652
1,2336241,2336341
1,2336342,2336441
1,2336442,2336541
1,2336542,2336641
1,2336642,2336741
1,2336742,2336841
1,2336842,2336941
1,2336942,2337041
1,2337042,2337130
1,2337131,2337231
1,2337232,2337362
1,2337846,2337946
1,2337947,2338046
1,2338047,2338146
1,2338147,2338246
1,2338247,2338346
1,2338347,2338466
1,2339811,2339911
1,2339912,2340011
1,2340012,2340111
1,2340112,2340211
1,2340212,2340363
1,2341736,2341836
1,2341837,2341978
1,2343857,2343956
1,2343957,2344026
1,2392536,2392636
1,2392637,2392749
1,3598879,3598979
1,3598980,3599044
1,3599573,3599673
1,3599674,3599794
1,3607236,3607336
1,3607337,3607418
1,3607419,3607558
1,3614559,3614659
1,3614660,3614765
1,3624062,3624162
1,3624163,3624262
1,3624263,3624405
1,3638534,3638634
1,3638635,3638734
1,3638735,3638821
1,3639867,3639967
1,3639968,3640083
1,3643628,3643728
1,3643729,3643838
1,3644141,3644241
1,3644242,3644384
1,3644642,3644742
1,3644743,3644831
1,3645840,3645940
1,3645941,3646062
1,3646513,3646613
1,3646614,3646762
1,3647440,3647540
1,3647541,3647679
1,3647976,3648076
1,3648077,3648170
1,3649260,3649360
1,3649361,3649460
1,3649461,3649560
1,3649561,3649660
1,3649661,3649760
1,3649761,3649860
1,3649861,3649960
1,3649961,3650060
1,3650061,3650160
1,3650161,3650260
1,3650261,3650360
1,3650361,3650460
1,3650461,3650560
1,3650561,3650660
1,3650661,3650760
1,3650761,3650860
1,3650861,3650960
1,3650961,3651060
1,3651061,3651160
1,3651161,3651260
1,3651261,3651360
1,3651361,3651460
1,3651461,3651560
1,3651561,3651660
1,3651661,3651760
1,3651761,3651860
1,3651861,3651960
1,3651961,3652060
1,3652061,3652160
1,3652161,3652260
1,3652261,3652360
1,3652361,3652460
1,3652461,3652560
1,3652561,3652660
1,3652661,3652815
1,3773780,3773880
1,3773881,3773980
1,3773981,3774080
1,3774081,3774180
1,3774181,3774331
1,3775231,3775331
1,3775332,3775480
1,3776984,3777070
1,3782207,3782274
1,3782275,3782375
1,3782376,3782475
1,3782476,3782614
1,3782797,3782897
1,3782898,3783012
1,3784487,3784587
1,3784588,3784667
1,3786118,3786218
1,3786219,3786318
1,3786319,3786389
1,3788985,3789085
1,3789086,3789186
1,3789578,3789701
1,3800020,3800120
1,3800121,3800220
1,3800221,3800320
1,3800321,3800420
1,3800421,3800520
1,3800521,3800620
1,3800621,3800720
1,3800721,3800820
1,3800821,3800920
1,3800921,3801020
1,3801021,3801120
1,3801121,3801220
1,3801221,3801320
1,3801321,3801420
1,3801421,3801520
1,3801521,3801620
1,3801621,3801720
1,3801721,3801820
1,3801821,3801920
1,3801921,3802043
1,8022823,8022923
1,8022924,8023023
1,8044890,8044990
1,8044991,8045141
1,9294978,9295077
1,9299952,9300052
1,9300053,9300158
1,9304902,9305002
1,9305003,9305102
1,9305103,9305202
1,9305203,9305302
1,9305303,9305402
1,9305403,9305502
1,9305503,9305602
1,9305603,9305715
1,9306942,9307042
1,9307043,9307142
1,9307143,9307225
1,9322037,9322137
1,9322138,9322237
1,9322238,9322337
1,9322338,9322458
1,9323492,9323592
1,9323593,9323692
1,9323693,9323792
1,9323793,9323892
1,9323893,9323992
1,9323993,9324092
1,9324093,9324192
1,9324193,9324292
1,9324293,9324392
1,9324393,9324492
1,9324493,9324592
1,9324593,9324692
1,9324693,9324792
1,9324793,9324892
1,9324893,9325015
1,9325016,9325116
1,9325117,9325216
1,9325217,9325316
1,9325317,9325416
1,9325417,9325516
1,9325517,9325616
1,9325617,9325716
1,9325717,9325816
1,9325817,9325916
1,9325917,9326016
1,9326017,9326116
1,9326117,9326216
1,9326217,9326316
1,9326317,9326416
1,9326417,9326516
1,9326517,9326616
1,9326617,9326716
1,9326717,9326816
1,9326817,9326916
1,9326917,9327016
1,9327017,9327116
1,9327117,9327216
1,9327217,9327316
1,9327317,9327416
1,9327417,9327516
1,9327517,9327616
1,9327617,9327716
1,9327717,9327816
1,9327817,9327916
1,9327917,9328016
1,9328017,9328116
1,9328117,9328216
1,9328217,9328316
1,9328317,9328416
1,9328417,9328516
1,9328517,9328616
1,9328617,9328716
1,9328717,9328816
1,9328817,9328916
1,9328917,9329016
1,9329017,9329116
1,9329117,9329216
1,9329217,9329316
1,9329317,9329416
1,9329417,9329516
1,9329517,9329616
1,9329617,9329716
1,9329717,9329816
1,9329817,9329916
1,9329917,9330016
1,9330017,9330116
1,9330117,9330216
1,9330217,9330316
1,9330317,9330416
1,9330417,9330516
1,9330517,9330616
1,9330617,9330716
1,9330717,9330816
1,9330817,9330916
1,9330917,9331016
1,9331017,9331116
1,9331117,9331216
1,9331217,9331316
1,9711840,9711910
1,9751474,9751574
1,9751575,9751679
1,9770463,9770563
1,9770564,9770704
1,9775548,9775648
1,9775649,9775748
1,9775749,9775848
1,9775849,9775948
1,9775949,9776048
1,9776049,9776186
1,9776447,9776547
1,9776548,9776647
1,9776648,9776727
1,9776966,9777066
1,9777067,9777216
1,9777544,9777644
1,9777645,9777734
1,9778701,9778801
1,9778802,9778901
1,9778902,9779023
1,9779928,9780028
1,9780029,9780128
1,9780129,9780228
1,9780229,9780350
1,9780618,9780718
1,9780719,9780818
1,9780819,9780918
1,9780919,9781017
1,9781134,9781234
1,9781235,9781356
1,9781451,9781551
1,9781552,9781695
1,9781768,9781868
1,9781869,9781968
1,9781982,9782082
1,9782083,9782182
1,9782183,9782282
1,9782283,9782382
1,9782383,9782464
1,9782535,9782635
1,9782636,9782714
1,9783132,9783232
1,9783233,9783332
1,9783333,9783400
1,9783976,9784076
1,9784077,9784200
1,9784283,9784383
1,9784384,9784529
1,9784811,9784911
1,9784912,9785044
1,9786916,9787016
1,9787017,9787154
1,9787155,9787255
1,9787256,9787355
1,9787356,9787455
1,9787456,9787555
1,9787556,9787655
1,9787656,9787755
1,9787756,9787855
1,9787856,9787955
1,9787956,9788055
1,9788056,9788155
1,9788156,9788255
1,9788256,9788355
1,9788356,9788455
1,9788456,9788555
1,9788556,9788655
1,9788656,9788755
1,9788756,9788855
1,9788856,9788955
1,9788956,9789055
1,9789056,9789172
1,9936937,9937037
1,9937038,9937127
1,10520603,10520703
1,10520704,10520803
1,10520804,10520903
1,10520904,10521003
1,10521004,10521103
1,10521104,10521203
1,10521204,10521303
1,10521304,10521403
1,10521404,10521503
1,10521504,10521603
1,10521604,10521703
1,10521704,10521803
1,10521804,10521903
1,10521904,10522003
1,10522004,10522103
1,10522104,10522203
1,10522204,10522303
1,10522304,10522403
1,10522404,10522503
1,10522504,10522603
1,10522604,10522703
1,10522704,10522803
1,10522804,10522903
1,10522904,10523003
1,10523004,10523103
1,10523104,10523203
1,10523204,10523316
1,10523437,10523537
1,10523538,10523637
1,10523638,10523727
1,10527196,10527296
1,10527297,10527439
1,10529183,10529283
1,10529284,10529383
1,10529384,10529445
1,10532329,10532429
1,10532430,10532565
1,11734537,11734637
1,11734638,11734780
1,11734781,11734923
1,11735088,11735188
1,11735189,11735281
1,11735664,11735764
1,11735765,11735838
1,11736052,11736152
1,11736153,11736247
1,11736854,11736954
1,11736955,11737055
1,11737549,11737649
1,11737650,11737721
1,11740359,11740459
1,11740460,11740559
1,11740560,11740708
1,11741146,11741245
